"id","login","pressed_key","time_hold","time_to_next"
"40682","Kinga","89","104","136"
"40683","Kinga","32","72.0","112"
"40684","Kinga","77","72.0","33"
"40685","Kinga","65","111","1"
"40686","Kinga","75","87.0","43"
"40687","Kinga","69","85.0","104"
"40688","Kinga","32","64.0","48"
"40689","Kinga","65","136","32"
"40690","Kinga","78","56.0","200"
"40691","Kinga","32","80.0","136"
"40692","Kinga","65","120","96"
"40693","Kinga","83","88.0","96"
"40694","Kinga","83","104","31"
"40695","Kinga","32","57.0","168"
"40696","Kinga","79","88.0","56"
"40697","Kinga","70","104","96"
"40698","Kinga","32","88.0","352"
"40699","Kinga","84","8.00","8"
"40700","Kinga","79","80.0","120"
"40701","Kinga","85","72.0","184"
"40702","Kinga","82","80.0","344"
"40703","Kinga","83","112","272"
"40704","Kinga","69","104","48"
"40705","Kinga","76","80.0","120"
"40706","Kinga","70","104","104"
"40707","Kinga","32","88.0","96"
"40708","Kinga","65","80.0","46"
"40709","Kinga","78","58.0","128"
"40710","Kinga","70","72.0","56"
"40711","Kinga","32","88.0","200"
"40712","Kinga","76","72.0","440"
"40713","Kinga","65","72.0","112"
"40714","Kinga","71","48.0","96"
"40715","Kinga","85","96.0","248"
"40716","Kinga","32","80.0","136"
"40717","Kinga","32","56.0","200"
"40718","Kinga","73","72.0","256"
"40719","Kinga","32","88.0","56"
"40720","Kinga","84","80.0","160"
"40721","Kinga","32","88.0","80"
"40722","Kinga","70","48.0","81"
